=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-9-23_3-15-1
====================================================================================
3:15:1 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
3:15:1 | [PermissionManager] Adding Super Admin (76561198069476650)
3:15:1 | [PermissionManager] Loaded UserGroups.json
3:15:1 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
3:15:1 | Building Sets Loaded: 0
3:15:1 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:NamalskRunEvent) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
3:15:1 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
3:15:39 | Player "PhattSausage" (steamId=76561198063550007) connected to server!
3:16:5 | Player "PhattSausage" (steamId=76561198063550007) connected to server!
3:17:45 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4478.904297, 16.209032, 10721.513672>)
3:17:45 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4493.262695, 17.959452, 10715.145508>)
3:17:45 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4521.586914, 18.662699, 10702.498047>)
3:17:47 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4549.135254, 18.039936, 10691.510742>)
3:17:48 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4556.972656, 19.657993, 10687.598633>)
3:17:48 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4564.873047, 21.256659, 10683.522461>)
3:17:48 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4573.442871, 22.608782, 10678.409180>)
3:17:48 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4583.730469, 23.694576, 10672.114258>)
3:17:49 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4592.289063, 24.636593, 10666.765625>)
3:17:49 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4600.779785, 25.621517, 10661.356445>)
3:17:49 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4609.769531, 26.251812, 10656.033203>)
3:17:50 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4623.850098, 25.834333, 10647.915039>)
3:17:51 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4647.554688, 21.723068, 10644.573242>)
3:17:52 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4658.069824, 20.946058, 10642.860352>)
3:17:52 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4668.735352, 21.104885, 10639.681641>)
3:17:52 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4680.331543, 21.688000, 10634.820313>)
3:17:52 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4691.687012, 22.196754, 10628.807617>)
3:17:52 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4702.099121, 22.357944, 10623.872070>)
3:17:53 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4711.579102, 22.502020, 10620.274414>)
3:17:53 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4721.394531, 22.540787, 10617.311523>)
3:17:53 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4734.108887, 22.079762, 10614.833008>)
3:17:53 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4747.892578, 21.334940, 10612.753906>)
3:17:53 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4766.651367, 20.087076, 10611.424805>)
3:17:54 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4778.946289, 19.810608, 10610.647461>)
3:17:54 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4792.544434, 19.320662, 10609.863281>)
3:17:54 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4809.520508, 18.621613, 10609.407227>)
3:17:54 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4826.438965, 18.018797, 10609.268555>)
3:17:54 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4848.160156, 16.796612, 10609.385742>)
3:17:54 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4864.800293, 16.269983, 10609.474609>)
3:17:55 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4902.309082, 12.981930, 10609.604492>)
3:17:55 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4967.012695, 6.192717, 10609.875000>)
3:17:55 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4976.782227, 6.415799, 10609.996094>)
3:17:56 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4990.283691, 7.651001, 10611.471680>)
3:17:57 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4998.893066, 8.857590, 10612.544922>)
3:17:57 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5006.749512, 10.122517, 10613.481445>)
3:17:57 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5014.987793, 11.401458, 10614.519531>)
3:17:57 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5025.954102, 12.525244, 10615.887695>)
3:17:57 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5035.304688, 13.641128, 10617.088867>)
3:17:57 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5047.770508, 14.479224, 10619.264648>)
3:17:58 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5059.907227, 15.290129, 10622.629883>)
3:17:58 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5072.572754, 16.093603, 10626.027344>)
3:17:58 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5083.426758, 17.094975, 10628.986328>)
3:17:58 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5093.884277, 18.144447, 10631.768555>)
3:17:58 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5104.040039, 19.175486, 10634.494141>)
3:17:59 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5116.243164, 20.371101, 10637.743164>)
3:17:59 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5130.834473, 21.273226, 10641.662109>)
3:18:5 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5151.210938, 23.463295, 10661.620117>)
3:18:5 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5163.085449, 24.264116, 10663.241211>)
3:18:5 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5173.125977, 25.144438, 10664.615234>)
3:18:5 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5182.520508, 26.102642, 10665.921875>)
3:18:6 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5192.544434, 27.084461, 10667.073242>)
3:18:6 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5202.608398, 28.068932, 10668.263672>)
3:18:6 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5211.678223, 28.953524, 10669.493164>)
3:18:6 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5220.807129, 29.850710, 10670.684570>)
3:18:6 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5229.974609, 30.803102, 10671.941406>)
3:18:7 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5240.121582, 31.528782, 10673.584961>)
3:18:7 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5250.599609, 32.202896, 10675.338867>)
3:18:8 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5261.006836, 33.241623, 10677.612305>)
3:18:8 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5267.812012, 34.016087, 10678.912109>)
3:18:8 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5276.467285, 34.504730, 10680.391602>)
3:18:8 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5283.239258, 35.281483, 10681.378906>)
3:18:8 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5290.205566, 36.080589, 10682.307617>)
3:18:9 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5298.042480, 36.790310, 10683.512695>)
3:18:9 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5307.387207, 37.212746, 10685.001953>)
3:18:9 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5316.106445, 37.366890, 10686.112305>)
3:18:9 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5325.717285, 37.132576, 10687.542969>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5333.958008, 37.139217, 10688.881836>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5342.686523, 37.027531, 10690.396484>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5352.663086, 36.755123, 10692.075195>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5352.710449, 36.753975, 10692.084961>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5352.756836, 36.752914, 10692.094727>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5352.804199, 36.751812, 10692.104492>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5352.851074, 36.750767, 10692.116211>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5352.904297, 36.749428, 10692.126953>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5352.958008, 36.748203, 10692.138672>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5353.012207, 36.746994, 10692.150391>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5353.066895, 36.745575, 10692.161133>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5354.276367, 36.714287, 10692.368164>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5356.446289, 36.653584, 10692.737305>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5357.703125, 36.608547, 10692.951172>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5359.557617, 36.571030, 10693.267578>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5361.037598, 36.541218, 10693.521484>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5361.088867, 36.540531, 10693.534180>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5361.125488, 36.539982, 10693.543945>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5361.155273, 36.539749, 10693.552734>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5361.192871, 36.539272, 10693.561523>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5361.279785, 36.537788, 10693.581055>)
3:18:10 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5362.378906, 36.514168, 10693.766602>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5370.776855, 36.045162, 10693.004883>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5381.883301, 34.916225, 10691.286133>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5381.980469, 34.902588, 10691.255859>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5382.077148, 34.889214, 10691.225586>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5382.174805, 34.875736, 10691.195313>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5382.297852, 34.859009, 10691.161133>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5382.413086, 34.843044, 10691.126953>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5382.529785, 34.827076, 10691.093750>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5382.646484, 34.811176, 10691.061523>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5383.056641, 34.758156, 10690.979492>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5385.786621, 34.329178, 10690.520508>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5388.042969, 33.985229, 10690.139648>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5390.038574, 33.853226, 10689.804688>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5391.809570, 33.735977, 10689.507813>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.337891, 33.700092, 10689.408203>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.371094, 33.697136, 10689.370117>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.392578, 33.695339, 10689.347656>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.410156, 33.693798, 10689.329102>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.428223, 33.692261, 10689.310547>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.485840, 33.687939, 10689.280273>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.573730, 33.681641, 10689.249023>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.661621, 33.675339, 10689.215820>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.750000, 33.669010, 10689.184570>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.838867, 33.662670, 10689.152344>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.885254, 33.659523, 10689.141602>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.919922, 33.657234, 10689.138672>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.953613, 33.655014, 10689.134766>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5392.987793, 33.652733, 10689.132813>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5393.022461, 33.650471, 10689.129883>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5394.421875, 33.583675, 10688.881836>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5395.766113, 33.548630, 10688.644531>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5397.494141, 33.503555, 10688.337891>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5398.646973, 33.473507, 10688.134766>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5399.546387, 33.449791, 10687.973633>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5399.581543, 33.448444, 10687.957031>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5399.610840, 33.447308, 10687.940430>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5399.636719, 33.446304, 10687.927734>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5399.657715, 33.445511, 10687.916016>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5400.030762, 33.430836, 10687.847656>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5400.694824, 33.375565, 10687.731445>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5401.358398, 33.320236, 10687.614258>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5402.145996, 33.252121, 10687.476563>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5403.007813, 33.163868, 10687.323242>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5404.028809, 33.059120, 10687.139648>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5405.186523, 32.939800, 10686.925781>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5406.467773, 32.786568, 10686.688477>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5410.275391, 31.999287, 10685.977539>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5412.454102, 31.544550, 10685.568359>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5413.227539, 31.496330, 10685.434570>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5413.670410, 31.472971, 10685.360352>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5414.113770, 31.449234, 10685.285156>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5414.492676, 31.429113, 10685.220703>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5414.970703, 31.395607, 10685.138672>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5416.191406, 31.255724, 10684.919922>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5417.592285, 31.095299, 10684.666992>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5418.643555, 30.974821, 10684.476563>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5420.335449, 30.707407, 10684.167969>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5422.034668, 30.433760, 10683.859375>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5422.991699, 30.287909, 10683.684570>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5424.049316, 30.134089, 10683.492188>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5425.518066, 29.887470, 10683.222656>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5427.040527, 29.568583, 10682.942383>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5429.079590, 29.141636, 10682.568359>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5432.850586, 28.339746, 10681.875977>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5439.274902, 26.813763, 10680.693359>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5444.332520, 25.585058, 10679.763672>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5446.950195, 25.047714, 10679.282227>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5445.763184, 25.309511, 10679.484375>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5445.003906, 25.458784, 10679.607422>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5444.256836, 25.594267, 10679.724609>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5443.879883, 25.661541, 10679.776367>)
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5445.535156, 25.354382, 10679.433594>)
